Molecule_id,Canonical_SMILES,Source
CHEMBL4288574,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)NC3CCCCC3)cc12,S1
CHEMBL4288575,Cc1noc(C)c1-c1ccc2nc(N3CCN(CCN(C)C)CC3)nc(Nc3ccc(Cl)cc3)c2c1,S1
CHEMBL4288576,C=C1C(=O)N(c2cc(OC)c(OC)c(OC)c2)[C@H]1c1ccccc1,S1
CHEMBL4288577,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(COC(=O)CCCNC(=O)c6cc7ccc(N(CC)CC)cc7oc6=O)[C@@H]5CC[C@]43C)[C@@H]12,S1
CHEMBL4288578,Cc1ccc(C(=O)Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,S1
CHEMBL4288579,COc1ccccc1COC1CCC(Oc2ccc(CCNC(C)=O)c(-c3cccc(F)c3)c2)CC1,S1
CHEMBL4288580,COc1ccc2cc(C(C)c3nnc(-c4ccc(C)cc4)o3)ccc2c1,S1
CHEMBL4288663,CCCCn1c(-c2cc(-c3ccc(Cl)cc3)nc(N)n2)nc2ccccc21,S1
CHEMBL4288664,COc1ccc2c(/C(C#N)=C/c3cccc4cnccc34)c[nH]c2c1,S1
CHEMBL4288665,COc1cc(/C=C/C(C)=O)ccc1OCc1cn(-c2ccccc2CO)nn1,S1
CHEMBL4288666,COc1cc(-c2nc(/C=C/C(=O)c3ccc(N)cc3)cc3c2[nH]c2ccccc23)ccc1F,S1
CHEMBL4288667,COc1ccc(C(=O)c2cn(CCN3CCOCC3)c3ccc(OCC(=O)NCCCCCCCCNC(=O)CCCCCNC(=O)COc4ccc(/C=C/C5=[N+]6C(=Cc7ccc(-c8cccs8)n7[B-]6(F)F)C=C5)cc4)cc23)cc1,S1
CHEMBL4288750,COc1ccc(-c2csc(NC(=O)c3cncc(Cl)n3)n2)cc1,S1
